energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_m,loudness,valence,Genre
Medium-High,Moderato,Low,Medium-High,High,4,Medium,LA Minor,[3 - 4.99],[0 - 19.99],High,Rap
High,Moderato,Low,Low,High,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-Low,R&B
High,Moderato,Low,Medium-Low,Low,4,High,MI Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,High,4,High,SOL Major,[5 - 9.99],[0 - 19.99],Medium-High,Rap
Medium-High,Andante,Low,Medium-Low,Low,4,High,RE Major,[3 - 4.99],[0 - 19.99],Medium,Rap
Medium-High,Andante,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Rap
Medium-Low,Andante,Low,High,High,4,Low,FA Minor,[1 - 2.99],[0 - 19.99],Low,Rap
Medium-High,Vivace,Medium-Low,Medium-Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,R&B
High,Vivace,Low,Low,Low,4,Low,DO Major,[1 - 2.99],[0 - 19.99],Medium-Low,Country
Medium-High,Moderato,Low,Low,Low,4,High,DO Minor,[3 - 4.99],[0 - 19.99],Medium-High,Electronic
Medium,Moderato,Low,Low,High,4,High,SI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Electronic
High,Moderato,Low,Low,Medium-High,4,Low,SI Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Medium-Low,Low,Low,4,High,MI Minor,[3 - 4.99],[0 - 19.99],Medium-High,Rap
High,Vivace,Medium-Low,Low,Medium-Low,4,Medium,DO Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
High,Moderato,Low,Low,Medium-High,4,Medium,RE Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,High,4,High,SOL Major,[5 - 9.99],[0 - 19.99],Medium-High,Electronic
High,Moderato,Low,Low,High,4,Medium,RE Major,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Andante,Medium-Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Rap
Medium,Andante,Medium-High,Medium,Low,3,Medium,FA Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,LA Major,[5 - 9.99],[0 - 19.99],High,Rap
Medium-High,Moderato,Low,Low,Low,4,High,MI Minor,[5 - 9.99],[0 - 19.99],Medium-High,Rap
Medium-High,Moderato,Low,Low,High,4,High,DO Minor,[5 - 9.99],[0 - 19.99],Medium-High,Electronic
Medium,Moderato,Low,Medium,Low,4,Medium,MI Major,[5 - 9.99],[0 - 19.99],High,Pop/Rock
Medium-High,Vivace,Low,Low,Low,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Low,Vivace,Low,High,Medium,4,Medium,RE Major,[1 - 2.99],[20 - 39.99],Low,Pop/Rock
Medium,Moderato,Low,Low,Medium-High,4,Medium,SOL Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
High,Moderato,Low,Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Rap
Medium,Andante,Low,Low,Low,4,High,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Blues
Medium-Low,Moderato,Low,High,Medium-High,4,Low,SOL Minor,[1 - 2.99],[0 - 19.99],Low,Pop/Rock
High,Andante,Low,Medium-Low,Low,4,High,LA Major,[3 - 4.99],[0 - 19.99],High,Blues
High,Andante,Low,Medium,Low,4,Medium,RE Minor,[5 - 9.99],[0 - 19.99],High,Blues
Medium-High,Andante,Low,Low,Low,4,Medium,FA Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Medium-Low,Low,4,Medium,LA Minor,[1 - 2.99],[0 - 19.99],Medium,Blues
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
High,Vivace,Low,Low,Low,4,Medium,LA Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,FA Major,[5 - 9.99],[0 - 19.99],Medium-High,Rap
High,Andante,Low,Low,Low,4,High,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Moderato,Low,Low,High,4,High,DO Major,[5 - 9.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Andante,Low,Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,High,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],Medium-High,Blues
Medium-High,Andante,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],High,Rap
Medium,Andante,Low,Medium,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Low,Country
High,Andante,Low,Low,Low,4,Medium,MI Minor,[5 - 9.99],[0 - 19.99],Medium,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,RE Minor,[5 - 9.99],[0 - 19.99],Medium,Pop/Rock
