energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,dance,key,duration_m,loudness,c,valence,mode,Genre,x,y
Medium-Low,Moderato,Low,Medium-High,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium,Andante,Low,High,High,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,Blues,0,0
High,Moderato,Low,Low,High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Blues,0,0
High,Vivace,Low,Low,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,R&B,0,0
Medium,Vivace,Low,Low,Medium-Low,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Electronic,0,0
Medium-High,Andante,Low,Low,High,4,Low,1,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium,Moderato,Low,Medium-Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
High,Vivace,Low,Medium-Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium,Andante,Low,Medium-High,Low,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Minor,R&B,0,0
Medium,Andante,Medium-Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Pop/Rock,0,0
Medium-Low,Moderato,Low,Low,Low,4,Low,1,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Low,Andante,Low,High,Medium-Low,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Country,0,0
Medium,Moderato,Low,Low,High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Electronic,1,1
Medium-Low,Andante,Low,High,Low,4,Medium,2,MI,>10,[20.0 _ 40.0],1,Medium,Minor,Jazz,0,0
High,Moderato,Low,Low,Low,4,Low,1,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium,Presto,Low,Low,Low,3,Low,1,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Blues,0,0
Medium-High,Andante,Low,Low,Medium,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,1,1
Medium-High,Andante,Low,High,High,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Electronic,0,0
High,Vivace,Low,Low,High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,High,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,0,0
High,Vivace,Low,Low,Medium-High,4,Low,1,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium,Andante,Low,Medium,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
High,Moderato,Low,Low,High,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium-High,Andante,Medium-Low,Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
Medium-High,Moderato,Low,Medium-High,High,4,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Minor,Rap,0,0
High,Moderato,Low,Low,High,4,Medium,2,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,R&B,0,0
High,Moderato,Low,Medium-Low,Low,4,High,3,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium-High,Andante,Low,Medium-Low,Low,4,High,3,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Rap,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium-Low,Andante,Low,High,High,4,Low,1,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Minor,Rap,0,0
Medium-High,Vivace,Medium-Low,Medium-Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,R&B,0,0
High,Vivace,Low,Low,Low,4,Low,1,DO,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-Low,Major,Country,1,1
Medium-High,Moderato,Low,Low,Low,4,High,3,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Electronic,0,0
Medium,Moderato,Low,Low,High,4,High,3,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Electronic,0,0
High,Moderato,Low,Low,Medium-High,4,Low,1,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Medium-Low,Low,Low,4,High,3,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
High,Vivace,Medium-Low,Low,Medium-Low,4,Medium,2,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
High,Moderato,Low,Low,High,4,High,3,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Electronic,0,0
High,Moderato,Low,Low,High,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Medium-High,Andante,Medium-Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium,Andante,Medium-High,Medium,Low,3,Medium,2,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Rap,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Rap,0,0
Medium-High,Moderato,Low,Low,High,4,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Electronic,0,0
Medium,Moderato,Low,Medium,Low,4,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Vivace,Low,Low,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Low,Vivace,Low,High,Medium,4,Medium,2,RE,[1.0 _ 3.0],[20.0 _ 40.0],1,Low,Major,Pop/Rock,0,0
Medium,Moderato,Low,Low,Medium-High,4,Medium,2,SOL,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium,Andante,Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
Medium-Low,Moderato,Low,High,Medium-High,4,Low,1,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Minor,Pop/Rock,0,0
High,Andante,Low,Medium-Low,Low,4,High,3,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Blues,0,0
High,Andante,Low,Medium,Low,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Minor,Blues,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Moderato,Low,Medium-Low,Low,4,Medium,2,LA,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Minor,Blues,0,0
Medium-High,Moderato,Low,Medium-Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
High,Vivace,Low,Low,Low,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
High,Andante,Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium,Moderato,Low,Low,High,4,High,3,DO,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium,Andante,Low,High,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Blues,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Rap,0,0
Medium,Andante,Low,Medium,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Country,0,0
High,Andante,Low,Low,Low,4,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium,Minor,Pop/Rock,0,0
Low,Moderato,Low,High,Medium-High,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
High,Moderato,Low,Low,Low,4,Medium,2,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Low,4,Medium,2,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium,Moderato,Low,Medium-High,Low,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,High,Low,4,Low,1,RE,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
Low,Andante,Low,High,Low,4,Low,1,DO,>10,[0.0 _ 20.0],1,Low,Major,Jazz,0,0
Medium-High,Moderato,Low,Medium-High,Low,3,Medium,2,LA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Jazz,0,0
High,Moderato,Low,Low,High,4,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Minor,Rap,0,0
High,Moderato,Low,Low,Low,4,High,3,FA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,0,0
Medium-Low,Vivace,Low,Medium-High,Low,3,Medium,2,SOL,[1.0 _ 3.0],[0.0 _ 20.0],1,Medium,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Medium-Low,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Low,Medium-High,4,Low,1,MI,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Medium,Andante,Low,Low,Low,4,Low,1,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-Low,Andante,Medium-Low,High,High,3,High,3,FA,[1.0 _ 3.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Low,Andante,Low,High,Low,3,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
Medium-Low,Moderato,Low,Medium-High,Low,4,Medium,2,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-Low,Major,Pop/Rock,0,0
